Date,ALSO3.SA,ALUP11.SA,AURA33.SA,BABA34.SA,BOVA11.SA,BRML3.SA,BRPR3.SA,COGN3.SA,CSAN3.SA,CYRE3.SA,DIRR3.SA,EGIE3.SA,FESA4.SA,GGBR4.SA,GOAU4.SA,IVVB11.SA,JHSF3.SA,KNRI11.SA,MXRF11.SA,OIBR3.SA,RAIZ4.SA,SULA11.SA,TAEE11.SA,TEND3.SA,TRIS3.SA,TRPL4.SA,VIVT3.SA,XPCI11.SA
2020-12-11,29.809999465942383,26.940000534057617,54.75,48.13999938964844,110.79000091552734,10.65999984741211,10.680000305175781,5.300000190734863,17.797500610351562,30.799999237060547,12.779999732971191,44.90999984741211,17.979999542236328,22.959999084472656,10.489999771118164,200.64999389648438,8.100000381469727,153.6300048828125,10.270000457763672,2.359999895095825,,42.47225570678711,33.88999938964844,29.559999465942383,12.350000381469727,28.610000610351562,47.04999923706055,88.87000274658203
2020-12-14,30.25,26.850000381469727,54.599998474121094,47.70000076293945,110.19999694824219,10.65999984741211,10.539999961853027,5.010000228881836,17.395000457763672,31.049999237060547,13.0,44.22999954223633,18.290000915527344,22.809999465942383,10.460000038146973,201.1999969482422,8.170000076293945,155.0,10.1899995803833,2.200000047683716,,42.293087005615234,33.79999923706055,30.530000686645508,12.729999542236328,28.850000381469727,45.88999938964844,88.01000213623047
2020-12-15,30.350000381469727,26.850000381469727,55.5,46.349998474121094,111.76000213623047,10.670000076293945,10.630000114440918,4.869999885559082,18.46500015258789,31.709999084472656,13.300000190734863,44.25,18.690000534057617,23.799999237060547,10.829999923706055,203.1999969482422,8.140000343322754,157.77999877929688,10.229999542236328,2.3499999046325684,,42.01961898803711,33.619998931884766,30.389999389648438,12.710000038146973,28.829999923706055,45.7400016784668,88.4000015258789
2020-12-16,30.290000915527344,26.719999313354492,55.650001525878906,47.900001525878906,113.3499984741211,10.739999771118164,10.850000381469727,4.920000076293945,18.5049991607666,29.829999923706055,13.300000190734863,45.45000076293945,18.8799991607666,23.780000686645508,10.899999618530273,203.3000030517578,8.09000015258789,158.30999755859375,10.25,2.3299999237060547,,42.57598114013672,33.41999816894531,30.84000015258789,12.609999656677246,28.860000610351562,45.91999816894531,88.9800033569336
2020-12-17,30.209999084472656,27.0,56.630001068115234,48.04999923706055,113.98999786376953,10.630000114440918,10.699999809265137,4.820000171661377,19.354999542236328,29.25,13.09000015258789,44.869998931884766,18.799999237060547,24.399999618530273,11.09000015258789,203.0,8.010000228881836,157.89999389648438,10.239999771118164,2.240000009536743,,42.18935775756836,33.349998474121094,30.18000030517578,12.460000038146973,27.860000610351562,46.189998626708984,88.76000213623047
2020-12-18,29.540000915527344,26.670000076293945,56.52000045776367,47.54999923706055,113.5,10.390000343322754,10.4399995803833,4.78000020980835,19.024999618530273,28.8799991607666,12.989999771118164,44.90999984741211,18.610000610351562,24.829999923706055,11.380000114440918,203.0500030517578,7.849999904632568,158.60000610351562,10.229999542236328,2.190000057220459,,41.708431243896484,33.130001068115234,29.969999313354492,12.25,27.739999771118164,45.65999984741211,89.47000122070312
2020-12-21,28.889999389648438,26.5,56.0,47.79999923706055,111.43000030517578,10.09000015258789,10.25,4.639999866485596,18.452499389648438,28.709999084472656,12.65999984741211,43.5,18.899999618530273,24.389999389648438,11.149999618530273,204.39999389648438,7.690000057220459,158.9600067138672,10.220000267028809,2.109999895095825,,41.21807861328125,32.959999084472656,29.399999618530273,12.210000038146973,27.459999084472656,45.08000183105469,88.5999984741211
2020-12-22,28.040000915527344,26.219999313354492,55.79999923706055,47.209999084472656,112.25,9.850000381469727,10.0,4.5,18.77750015258789,28.700000762939453,12.479999542236328,43.2599983215332,18.31999969482422,24.059999465942383,10.899999618530273,205.00999450683594,7.46999979019165,159.52999877929688,10.279999732971191,2.109999895095825,,40.444828033447266,32.959999084472656,29.190000534057617,11.899999618530273,27.540000915527344,45.38999938964844,89.5
2020-12-23,28.239999771118164,26.40999984741211,57.130001068115234,48.5,113.13999938964844,10.010000228881836,10.020000457763672,4.599999904632568,18.52750015258789,28.799999237060547,12.279999732971191,43.65999984741211,18.899999618530273,24.239999771118164,11.069999694824219,207.32000732421875,7.5,161.69000244140625,10.399999618530273,2.1600000858306885,,40.62399673461914,32.95000076293945,28.989999771118164,11.859999656677246,27.799999237060547,45.4900016784668,90.47000122070312
2020-12-28,29.350000381469727,26.559999465942383,58.11000061035156,41.72999954223633,114.69999694824219,10.25,10.069999694824219,4.599999904632568,19.139999389648438,29.030000686645508,12.380000114440918,44.84000015258789,19.510000228881836,24.229999542236328,11.09000015258789,211.5,7.650000095367432,162.52000427246094,10.350000381469727,2.2200000286102295,,40.793731689453125,33.630001068115234,28.899999618530273,11.899999618530273,27.989999771118164,45.900001525878906,90.80000305175781
