Data	Fechamento	Variação	Variação (%)	Abertura	Máxima	Mínima	Volume
06 Abr 2021	103,25	-0,2	-0,19%	103,54	103,54	103,03	20871
05 Abr 2021	103,45	-0,25	-0,24%	103,45	103,45	103,45	18000
02 Abr 2021	103,7	0	+0,00%	103,7	103,7	103,7	0
01 Abr 2021	103,7	0,2	0,19%	103,7	103,7	103,7	10000
31 Mar 2021	103,5	0,1	0,1%	103,5	103,5	103,5	5000
30 Mar 2021	103,4	0,35	0,34%	103,4	103,4	103,4	8000
29 Mar 2021	103,05	-0,2	-0,19%	103,05	103,05	103,05	15000
26 Mar 2021	103,25	0,35	0,34%	103,87	103,87	103,25	28400
25 Mar 2021	102,9	0	0,0%	102,9	102,9	102,9	10000
24 Mar 2021	102,9	-0,25	-0,24%	102,91	102,91	102,9	26011
23 Mar 2021	103,15	-0,7	-0,67%	103,15	103,15	103,15	10000
22 Mar 2021	103,85	0,25	0,24%	103,04	103,85	103,04	5095
19 Mar 2021	103,6	0	+0,00%	103,6	103,6	103,6	0
19 Mar 2021	103,6	-1,05	-1,0%	103,6	103,6	103,6	23000
18 Mar 2021	104,65	-0,3	-0,29%	104,95	104,95	104,65	20010
17 Mar 2021	104,95	0,25	0,24%	105,1	105,2	104,95	6025
16 Mar 2021	104,7	-0,1	-0,1%	104,7	104,7	104,7	21000
15 Mar 2021	104,8	0,1	0,1%	104,8	104,8	104,8	5000
12 Mar 2021	104,7	-0,4	-0,38%	104,7	104,7	104,7	15000
11 Mar 2021	105,1	0,65	0,62%	105,1	105,1	105,1	20000
10 Mar 2021	104,45	0,05	0,05%	104,45	104,45	104,45	20000
09 Mar 2021	104,4	-0,4	-0,38%	104,4	104,4	104,4	10000
08 Mar 2021	104,8	0,5	0,48%	104,8	104,8	104,8	10000
05 Mar 2021	104,3	0	0,0%	104,3	104,3	104,3	0
04 Mar 2021	104,3	1,6	1,56%	104,3	104,3	104,3	5000
03 Mar 2021	102,7	-0,4	-0,39%	102,7	102,7	102,7	5000
02 Mar 2021	103,1	-0,4	-0,39%	103,2	103,2	103,1	10354
01 Mar 2021	103,5	-0,7	-0,67%	103,5	103,5	103,5	20000
26 Fev 2021	104,2	-0,35	-0,33%	104,55	104,55	104,2	16046
25 Fev 2021	104,55	-0,2	-0,19%	104,55	104,55	104,55	3000
24 Fev 2021	104,75	-0,4	-0,38%	104,75	104,75	104,75	3000
23 Fev 2021	105,15	-0,2	-0,19%	105,15	105,15	105,15	10000
23 Fev 2021	105,15	-0,2	-0,19%	105,15	105,15	105,15	10000
22 Fev 2021	105,35	-0,45	-0,43%	105,35	105,35	105,35	10000
19 Fev 2021	105,8	-0,45	-0,42%	105,8	105,8	105,8	5000
18 Fev 2021	106,25	0,25	0,24%	106,03	106,25	106,03	22001
17 Fev 2021	106	-0,25	-0,24%	106,25	106,25	106	11047
16 Fev 2021	106,25	0	+0,00%	106,3	106,53	106,25	0
15 Fev 2021	106,25	0	+0,00%	106,3	106,53	106,25	0
12 Fev 2021	106,25	-0,05	-0,05%	106,3	106,53	106,25	10477
11 Fev 2021	106,3	0,05	0,05%	106,3	106,3	106,3	5000
10 Fev 2021	106,25	0,25	0,24%	106,25	106,25	106,25	5000
09 Fev 2021	106	-0,5	-0,47%	106	106	106	5000
08 Fev 2021	106,5	0,15	0,14%	106,8	106,8	106,35	2822
05 Fev 2021	106,35	-0,1	-0,09%	106,35	106,35	106,35	5000
04 Fev 2021	106,45	-0,25	-0,23%	106,45	106,45	106,45	12000
03 Fev 2021	106,7	0,7	0,66%	106,67	106,7	106,67	7482
02 Fev 2021	106	0,5	0,47%	106,1	106,1	106	3456
01 Fev 2021	105,5	-0,1	-0,09%	105,85	105,85	105,5	29226
29 Jan 2021	105,6	0,2	0,19%	105,6	105,6	105,6	1000
28 Jan 2021	105,4	0,7	0,67%	105,15	105,4	105,15	5435
27 Jan 2021	104,7	-0,25	-0,24%	104,7	104,7	104,7	12000
26 Jan 2021	104,95	0,45	0,43%	104,8	104,95	104,8	5002
25 Jan 2021	104,5	0	+0,00%	104,89	104,89	104,37	0
