date,open,high,low,close
2/20/2020,112.78,112.86,111.95,112.36
2/21/2020,112.57,112.65,111.55,112.65
2/26/2020,111.35,112.61,109.88,112.61
2/27/2020,112.16,112.16,109.89,111.12
2/28/2020,111.12,112.36,106.99,112.36
3/2/2020,111.03,111.35,110.07,110.29
3/3/2020,110.29,111.02,109.58,110.21
3/4/2020,110.24,110.56,108.94,109.6
3/5/2020,109.53,109.53,108.13,108.44
3/6/2020,108.35,108.35,104.27,106.59
3/9/2020,106.02,106.02,100.13,101.42
3/10/2020,103.77,104.4,102.68,103.94
3/11/2020,104.09,105.18,100.41,101.85
3/12/2020,99.34,99.34,82.64,98.51
3/13/2020,101.43,101.43,92.69,98.16
3/16/2020,91.83,91.83,87.87,90.91
3/17/2020,90.91,95.58,88.49,89.32
3/18/2020,87.65,87.65,81.81,83.56
3/19/2020,80.97,83.48,66.8,83.48
3/20/2020,81.81,85.98,80.97,84.31
3/23/2020,84.31,84.31,75.04,76.63
3/24/2020,79.4,81.43,76,76
3/25/2020,79.96,79.96,76.82,79.11
3/26/2020,79.88,85.98,77.64,78.5
3/27/2020,78.89,84.29,77.63,84.26
3/30/2020,83.46,85.98,83.15,85.98
3/31/2020,85.97,90.99,85.74,90.98
4/1/2020,89.84,89.84,85.6,88.14
4/2/2020,88.57,88.99,84.75,86.2
4/3/2020,86.2,86.57,84.52,84.74
4/6/2020,84.78,88.14,84.74,84.78
4/7/2020,87.25,88.06,85.35,86.27
4/8/2020,86.42,88.03,86.42,87.38
4/9/2020,87.73,87.73,86.44,86.45
4/13/2020,86.9,89.84,86.87,89.39
4/14/2020,89.83,91.02,89.03,89.84
4/15/2020,90.49,91.36,90.22,91.27
4/16/2020,91.45,93.23,90.72,91.42
4/17/2020,92.04,92.8,91.52,91.71
4/20/2020,91.96,92.29,90.84,91.49
4/22/2020,91.48,91.54,90.94,91.28
4/23/2020,91.51,91.96,90.81,91.14
4/24/2020,91.15,91.52,86.45,86.45
4/27/2020,88.89,89.37,87.75,88.48
4/28/2020,89.33,89.38,87.3,87.98
4/29/2020,88.56,88.95,88.09,88.65
4/30/2020,88.65,89.67,87.83,89.67
5/4/2020,89.33,89.66,88.82,88.82
5/5/2020,89.24,89.38,88.82,89.12
5/6/2020,89.38,90.06,88.9,89.23
5/7/2020,89.24,89.67,88.82,89.2
5/8/2020,89.24,89.24,88.61,89.09
5/11/2020,89.09,89.23,87.64,88.3
5/12/2020,88.68,88.98,87.32,87.62
5/13/2020,87.96,87.96,87.08,87.7
5/14/2020,87.54,87.96,86.27,87.96
5/15/2020,87.95,87.96,87.11,87.96
5/18/2020,87.96,90.52,87.96,90.52
5/19/2020,91.36,91.42,88.82,89.84
5/20/2020,91.14,91.36,89.7,90.81
5/21/2020,90.81,91.38,90.65,91.08
5/22/2020,91.37,93.09,91.08,92.98
5/25/2020,92.75,97.34,92.75,95.65
5/26/2020,95.83,97.78,95.5,97.19
5/27/2020,97.97,97.98,96.93,97.9
5/28/2020,97.91,99.03,97.9,98.54
5/29/2020,98.47,99.56,98.47,98.72
6/1/2020,100.07,107.1,99.98,104.38
6/2/2020,104.46,105.93,104.46,105.32
6/3/2020,105.37,105.98,105.37,105.89
6/4/2020,105.38,105.93,105.38,105.59
6/5/2020,105.59,106.45,105.59,106.04
6/8/2020,106.45,107.03,106.14,106.19
6/9/2020,106.04,106.36,105.86,106.15
6/10/2020,106.19,107.06,106.19,106.42
6/12/2020,105.76,106.45,105.76,106.19
6/15/2020,106.19,107.06,105.77,106.78
6/16/2020,107.03,107.27,106.8,107.14
6/17/2020,107.14,108.61,107.06,107.69
6/18/2020,108.34,108.35,107.49,107.92
6/19/2020,108.6,110.08,108.6,109.95
6/22/2020,110.13,112.02,110.13,110.99
6/23/2020,111.38,112.15,110.84,110.99
6/24/2020,112.05,112.08,110.34,111.11
6/25/2020,111.37,112.08,111.13,112.02
6/26/2020,112.18,112.9,112.02,112.84
6/29/2020,112.67,114.77,112.67,114.52
6/30/2020,114.52,115.69,113.96,114.88
7/1/2020,114.65,115.1,114.06,114.83
7/2/2020,116.32,117.2,116.25,116.86
7/3/2020,117.03,117.84,117.03,117.79
7/6/2020,117.73,117.88,115.11,116.94
7/7/2020,117.02,117.81,116.38,116.68
7/8/2020,116.9,117.77,116.68,117.77
7/9/2020,117.77,117.77,116.68,116.99
7/10/2020,116.73,116.73,111.5,115.57
7/14/2020,115.2,116.62,114.16,116.16
7/15/2020,116.15,116.68,115.29,116.08
7/16/2020,116.08,116.42,115.51,116.02
7/17/2020,116.02,116.68,115.9,115.9
7/20/2020,116.15,116.2,114.17,114.76
7/21/2020,114.68,115.89,114.67,115.86
7/22/2020,115.86,116.33,115.57,116.12
7/24/2020,115.91,117.38,115.12,116.16
7/29/2020,113.63,114.94,113.04,113.89
7/31/2020,112.59,113.28,112,112.85
8/3/2020,114.32,114.32,113.56,113.97
8/4/2020,113.98,114.22,113.97,114.07
8/5/2020,114.25,114.34,113.54,114.07
8/6/2020,114.2,114.64,114.06,114.43
8/7/2020,114.43,114.91,114.18,114.26
8/10/2020,114.42,115.14,114.07,114.43
8/11/2020,114.43,114.6,114.08,114.42
